ORGAO;FORNECEDOR;CNPJ;OBJETO;VALOR;MODALIDADE;CONTRATO;DATA_ASSINATURA;VIGENCIA_DIAS;PROCESSO_ADM;LICITACAO;EVENTO;DATA_PUBLICACAO
SECRETARIA MUNICIPAL DAS SUBPREFEITURAS;TMS PURIFICADORES E COMÉRCIO LTDA-ME;09.114.027/0001-80;Contratação de empresa especializada na prestação de serviços de locação, instalação e manutenção de aparelhos purificadores de água;14.472,00;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;04/SMSUB/COGEL/2018;31/1/2020;360;6012.2018/0000943-9;003/SMSUB/COGEL/2019;EXTRATO DE ADITAMENTO;21/2/2020
COMPANHIA DE ENGENHARIA DE TRAFEGO;FEMAC PROJETOS E CONSTRUÇÕES EIRELI;29.697.929/0001-01;PRESTAÇÃO DE SERVIÇOS DE ELABORAÇÃO DE PROJETO DE INCÊNDIO E DEMAIS PROJETOS AUXILIARES PARA OS PRÉDIOS BARÃO E BELA CINTRA;14.400,00;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;35/20;2/9/2020;120;1600/19;02/20;EXTRATO DE CONTRATO / NOTA DE EMPENHO;3/9/2020
FAZENDA;CENTRAO COMERCIO DE EQUIPAMENTOS;15.179.700/0001-62;Contratação de empresa para prestação de serviços de manutenção preventiva e corretiva do sistema de bombas, instaladas no Edifício Othon, sede da Secretaria Municipal da Fazenda, com fornecimento de material e mão de obra, devidamente qualificada, por um período de 12 (doze) meses.;14.400,00;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;21/2017;7/8/2020;360;6017.2017/0021506-9;15/2017;EXTRATO DE ADITAMENTO;18/8/2020
INSTITUTO DE PREVIDÊNCIA MUNICIPAL;CM PINGO AR CONDICIONADO;18.730.007/0001-24;Contratação de empresa para a execução de serviços de manutenção corretiva e preventiva sem fornecimento de peças, dos sistemas de ar condicionado e de exaustão do IPREM.;14.400,00;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;006/IPREM/2020;4/5/2020;4380;6310.2020/0000340-0;002/IPREM/2020;EXTRATO DE ADITAMENTO;9/7/2020
SUBPREFEITURA: SÉ;3D PROJETOS E ASSESSORIA EM INFORMÁTICA LTDA;07.766.048/0001-54;Aquisição de Computadores Desktop;14.340,66;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;037/SUB-SÉ/2019;18/12/2019;1080;6056.2019/0007566-2;028/SUB-SÉ/19;EXTRATO DE ADITAMENTO;8/1/2020
HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL;P.H.O. PRODS.HOSP.E.ODONTOLÓGICOS EIRELI;08.211.767/0001-71;FORNECIMENTO DE MATERIAL MÉDICO HOSPITALAR (ATADURA ELÁSTICA, ATADURA CREPE, FAIXA ESMARCH, MALHA TUBULAR E SERRA GIGLI);14.292,00;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;198/2020;22/6/2020;360;6210.2019/0009983-5;096/2020;EXTRATO DE CONTRATO / NOTA DE EMPENHO;2/7/2020
CONTROLADORIA GERAL DO MUNICÍPIO;MARFLY VIAGENS E TURISMO EIRELI;00.920.881/0001-69;Contratação de empresa especializada para prestação de serviços de Locação de 2 (dois) veículos do grupo ?B?, sem motorista, com fornecimento de combustível e quilometragem livre e 01 veiculo tipo C- popular sem motorista com fornecimento de combustível e quilometragem livre para atender as necessidades da Secretaria Municipal de Justiça-SMJ e da Controladoria Geral do Município - CGM;14.288,82;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;01/SMJ/2018;6/3/2020;90;6067.2018/0000005-9;01/2018;EXTRATO DE ADITAMENTO;13/3/2020
SEGURANÇA URBANA;BREANTON COMERCIO DE MATERIAIS, CONSTRUÇÃO E ENGEN;34.779.265/0001-51;Contratação de empresa especializada na prestação de serviços de serralheria, com fornecimento de material e mão de obra, para manutenção de uma porta, folha dupla, de ferro com grade e vidros, da entrada do Hall do edifício sede do Comando Geral da Guarda Civil Metropolitana.;14.200,00;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;ETC Nº 031/SMSU/2019;30/12/2019;360;6029.2018/0001816-3;042/SMSU/2019;EXTRATO DE CONTRATO / NOTA DE EMPENHO;18/1/2020
SAÚDE;VANCOPY COPIADORAS E DUPLICADORES DIGITAIS LTDA-EP;06.350.192/0001-42;Contratação de empresa especializada em Locação de Duplicador Digital com Operador;14.158,79;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;006/2018 CRS-SUL;16/6/2020;360;6018.2018/0015393-1;04/2018-CRS/SUL;EXTRATO DE ADITAMENTO;8/7/2020
SÃO PAULO TURISMO;META COMÉRCIO DE FERRAGENS E FERRAMENTAS EIRELI EP;27.518.373/0001-05;Formação de Preços, para fornecimento de reatores,  conforme bases, condições e especificações deste Edital e seus Anexos.;14.139,00;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;ATA RP 002/2020;15/4/2020;360;751/19;60/19;EXTRATO DE CONTRATO / NOTA DE EMPENHO;23/6/2020
SÃO PAULO TURISMO;Gibbor Publicidade e publicações de Editais Eireli;18.876.112/0001-76;Contratação de empresa, sob o regime de empreitada por preço unitário, para a prestação de serviços de Publicação Legal, sob demanda, de avisos e editais de licitação em jornal de grande circulação no Estado de São Paulo e no Diário Oficial da União pelo período de 12 (doze) meses, renováveis por iguais ou menores períodos, conforme bases, especificações e condições do Edital e seus Anexos;14.107,50;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;035/18;21/2/2020;360;466/17;108/17;EXTRATO DE ADITAMENTO;23/4/2020
SÃO PAULO TURISMO;Gibbor Publicidade e Publicações de Editais Eireli;18.876.112/0001-76;Contratação de empresa, sob o regime de empreitada por preço unitário, para a prestação de serviços de Publicação Legal, sob demanda, de avisos e editais de licitação em jornal de grande circulação no Estado de São Paulo e no Diário Oficial da União pelo período de 12 (doze) meses, renováveis por iguais ou menores períodos, conforme bases, especificações e condições do Edital e seus Anexos;14.107,50;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;035/18;21/2/2020;360;466/17;108/17;EXTRATO DE ADITAMENTO;14/3/2020
AUTORIDADE MUNICIPAL DE LIMPEZA URBANA;MTS ELEVADORES LTDA;24.783.679/0001-09;Contratação de empresa especializada para a prestação de serviços técnicos especializados de manutenção preventiva e corretiva de 2 (dois) Elevadores: Marca Atlas Schindler, capacidade 420 Kg, n° de série 182885 e n° 182877: Número de paradas: 4 (quatro)  entradas: térreo, 1°, 2°, 3° andares  instalados no edifício da AUTORIDADE MUNICIPAL DE LIMPEZA URBANA, com fornecimento de peças e mão de obra especializada.;13.920,00;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;010/AMLURB/2020;17/8/2020;360;8310.2020/0001044-4;06/AMLURB/2020;EXTRATO DE CONTRATO / NOTA DE EMPENHO;19/8/2020
SAÚDE;BASS TECH COMÉRCIO E SERVIÇOS EM ELEVADORES LTDA;28.355.223/0001-90;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA DE ELEVADORES TIPO MONTA CARGA, COM FORNECIMENTO DE PEÇAS;13.860,00;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;009/2019/COVISA.G;2/4/2020;360;6018.2018/0053226-6;025/2019;EXTRATO DE ADITAMENTO;9/4/2020
SAÚDE;BASS TECH COMÉRCIO E SERVIÇOS EM ELEVADORES LTDA.;28.355.223/0001-90;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA DE ELEVADORES TIPO MONTA CARGA, COM FORNECIMENTO DE PEÇAS;13.860,00;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;009/2019-COVISA.G;28/10/2020;360;6018.2018/0053226-6;025/2019;EXTRATO DE ADITAMENTO;14/11/2020
SECRETARIA MUNICIPAL DAS SUBPREFEITURAS;FEC CONSTRUÇÕES  E COMERCIO EIRELI - EPP;54.953.427/0001-33;REGISTRO DE PREÇOS PARA A PRESTAÇÃO DE SERVIÇOS PARA A READEQUAÇÃO E MANUTENÇÃO DOS PASSEIOS PÚBLICOS ? ?CALÇADAS?;13.838,35;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;94/SMSUB/COGEL/2020;2/6/2020;30;6012.2019/0002667-0;23/SMSUB/COGEL/2019;EXTRATO DE CONTRATO / NOTA DE EMPENHO;13/6/2020
HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL;BIOVALIC COM. DE EQUIPAMENTOS MÉDICOS LTDA-ME;08.924.875/0001-91;REGISTRO DE PREÇOS PARA O FORNECIMENTO DE MATERIAL MÉDICO HOSPITALAR (INDICADOR QUÍMICO TIPO TESTE DE BOWIE DICK ? PACOTE PRONTO);13.800,00;PREGÃO ELETRÔNICO EXTRATO DE ATA DE REGISTRO DE PREÇO;086/2020;8/10/2020;365;6210.2020/0002612-0;282/2020;EXTRATO DE ATA DE REGISTRO DE PREÇO;17/10/2020
SEGURANÇA URBANA;SYNTECK COMÉRCIO DE PRODUTOS PARA SAÚDE LTDA ? ME;07.422.297/0001-22;Aquisição de Termômetro Digital Infravermelho de Testa ou Ouvido, sem contato com a pele do paciente, visor color, com alarme, com display de mudança de cor, conforme a temperatura indicada, com medição instantânea, acompanha bateria recarregável  cabo USB, para atender a legislação vigente;13.780,00;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;ETC056/SMSU/2020;29/9/2020;360;6029.2020/0003477-4;053/SMSU/2020;EXTRATO DE CONTRATO / NOTA DE EMPENHO;30/9/2020
SAÚDE;GOLD CARE COMÉRCIO DE MATERIAIS CIRÚRGICOS E HOSPI;26.685.436/0001-55;Registro de preços para o fornecimento de PASTA PARA EEG POTE 1 KG, CÂNULA GUEDEL PVC ESTÉRIL E PULSEIRA DE IDENTIFICAÇÃO INFANTIL.;13.776,00;PREGÃO ELETRÔNICO EXTRATO DE ATA DE REGISTRO DE PREÇO;026/2020-SMS.G;15/1/2020;360;6018.2019/0050956-8;293/2019-SMS.G;EXTRATO DE ATA DE REGISTRO DE PREÇO;24/1/2020
AUTARQUIA HOSPITALAR MUNICIPAL;TECNOGERA LOCAÇÃO E TRANSFORMAÇÃO DE ENERGIA;08.100.057/0001-74;NGCONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE LOCAÇÃO, INSTALAÇÃO E MANUTENÇÃO CONTÍNUA DE GRUPOS MOTORES GERADORES, ESTACIONÁRIOS, CABINADOS/SILENCIOSOS E QTA (QUADRO DE TRANSFERÊNCIA  AUTOMÁTICA), PARA AS UNIDADES HOSPITALARES PERTENCENTES À AUTARQUIA HOSPITALAR MUNICIPAL.CL.;13.702,16;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;TA 001/20 TC 085/19;6/9/2020;360;6110.2019/0001954-4;149/2019;EXTRATO DE ADITAMENTO;10/10/2020
SECRETARIA MUNICIPAL DAS SUBPREFEITURAS;CONSTRUTORA PROGREDIOR LTDA;56.838.949/0001-10;REGISTRO DE PREÇOS PARA A PRESTAÇÃO DE SERVIÇOS PARA A READEQUAÇÃO E MANUTENÇÃO DOS PASSEIOS PÚBLICOS ? ?CALÇADAS?;13.654,29;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;034/SMSUB/COGEL/2020;30/4/2020;60;6012.2019/0002667-0;23/SMSUB/COGEL/2019;EXTRATO DE ADITAMENTO;8/5/2020
CÂMARA MUNICIPAL;INCLUSE CONSTRUÇÃO E DISTRIBUIÇÃO EIRELI - ME;22.227.785/0001-72;Fornecimento, instalação, remoção e reinstalação de película de controle solar nos sanitários do edifício da Câmara Municipal de São Paulo, pelo período de 12 (doze) meses, conforme descrições, quantidades e condições constantes do Anexo I - Termo de Referência - Especificações Técnicas, parte integrante do Edital.;13.639,50;PREGÃO PRESENCIAL EXTRATO DE ADITAMENTO;30/2016;2/6/2020;360;869/2015;17/2016;EXTRATO DE ADITAMENTO;9/6/2020
AUTARQUIA HOSPITALAR MUNICIPAL;STERIMED CEDRAL SERVIÇOS DE ESTERILIZAÇÃO LTDA;08.428.051/0001-20;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE EMBALAGEM, SELAGEM, ESTERILIZAÇÃO, REESTERILIZAÇÃO E REPROCESSAMENTO EM BAIXA TEMPERATURA DE MATERIAIS E ARTIGOS MÉDICO-HOSPITALARES PARA O HOSPITAL MUNICIPAL DR. BENEDICTO MONTENEGRO PERTENCENTE À AUTARQUIA HOSPITALAR MUNICIPAL.;13.506,62;PREGÃO PRESENCIAL EXTRATO DE ADITAMENTO;072/2015;23/3/2020;30;2015-0.121.168-0;016/2015;EXTRATO DE ADITAMENTO;18/4/2020
SAÚDE;SX TECNOLOGIA E SERVIÇOS CORPORATIVOS;14.278.276/0001-40;CONTRATAÇÃO DE SERVIÇOS DE BANCO DE IMAGENS VETORIAIS E FOTOGRAFIAS PARA PEÇAS GRÁFICAS COMERCIAIS, PLANO PROFISSIONAL ILIMITADO;13.498,44;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;021/2016/COVISA.G;26/6/2020;4380;6018.2016/0001443-1;075/2016;EXTRATO DE ADITAMENTO;30/6/2020
INOVACAO E TECNOLOGIA;PERSI ANIL COMÉRCIO E SERVIÇOS EIRELI ME;11.440.115/0001-13;Contratação de empresa especializada na prestação de serviços de fornecimento e  instalação de persianas, para atender às necessidades das unidades da Secretaria Municipal de inovação e Tecnologia/SMIT, instaladas no 34º andar do Edifício Grande São Paulo, conforme as especificações técnicas e condições dos serviços constantes do Termo de Referência, Anexo - I do Edital e respectivos anexos.;13.398,74;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;14/SMIT/2020;12/6/2020;90;6023.2020/0000714-6;02/SMIT/2020;EXTRATO DE CONTRATO / NOTA DE EMPENHO;16/6/2020
SEGURANÇA URBANA;IDEAL SEG COMERCIO DE EQUIPAMENTOS E SERVICOS DE S;10.416.895/0001-01;Aquisição de 28 (vinte e oito) MACA CESTO, a serem utilizado pelo Corpo de Bombeiros da Polícia Militar do Estado de São Paulo.;13.230,00;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;E1ºTAC 068/SMSU/2020;11/12/2020;360;6029.2020/0014615-7;073/SMSU/2020;EXTRATO DE ADITAMENTO;15/12/2020
HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL;RV MANUTENÇÃO DE ELEVADORES LTDA - EPP;16.433.749/0001-62;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA EM ELEVADORES MONTA CARGA (SEM A PLICAÇÃO DE PEÇAS);13.200,00;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;414/2020;4/12/2020;360;6210.2019/0006373-3;422/2019;EXTRATO DE CONTRATO / NOTA DE EMPENHO;9/12/2020
COMPANHIA DE ENGENHARIA DE TRAFEGO;BR VALE DISTRIBUIDORA DE PRODUTOS EIRELI;35.638.331/0001-36;FORNECIMENTO DE MATERIAL DE LIMPEZA, pelo menor preço por lote, conforme Anexo I - Especificações Técnicas;13.160,56;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;48/20;1/12/2020;180;0349/20;30/20;EXTRATO DE CONTRATO / NOTA DE EMPENHO;3/12/2020
AUTARQUIA HOSPITALAR MUNICIPAL;MEDEVICES PROD. MEDICOS E HOSPITALARES LTDA - ME;24.774.241/0001-56;REGISTRO DE PREÇOS DE TELA DE POLIPROPILENO MONOFILAMENTAR 6CMX11CM E TELA DE POLIPROPILENO MONOFILAMENTAR 30CMX30CM,PARA UNIDADES DA AUTARQUIA HOSPITALAR MUNICIPAL.;13.125,30;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;184/AHM/2019;20/10/2020;720;6110.2019/0002914-0;185/2019;EXTRATO DE ADITAMENTO;17/11/2020
HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL;DONIZETTI DE SOUZA GUERREIRO DESCARTÁVEIS ME;12.265.505/0001-67;FORNECIMENTO DE MATERIAL MÉDICO HOSPITALAR (EXTENSOR PARA BOMBA DE INFUSÃO TIPO SERINGA, LENÇOL DESCARTÁVEL COM ELÁSTICO PARA MACA, TAMPA LUER MACHO ESTÉRIL);13.000,00;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;085/2020;3/4/2020;360;6210.2019/0009921-5;053/2020;EXTRATO DE CONTRATO / NOTA DE EMPENHO;9/4/2020
AUTARQUIA HOSPITALAR MUNICIPAL;CRISTÁLIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA;44.734.671/0001-51;NGREGISTRO DE PREÇOS DE ÁCIDO AMINOCAPRÓICO 1.000 mg 20ml, CLONIDINA CLORIDRATO 150 mcg/ml 1 ml PARA USO NAS UNIDADES DA AHM.CL;12.955,80;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;193/AHM/2019;15/10/2020;360;6110.2019/0006732-8;410/2019;EXTRATO DE ADITAMENTO;27/10/2020
HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL;WHITE MARTINS GASES INDUSTRIAIS LTDA;35.820.448/0069-24;CONTRATAÇÃO DE EMPRESA PARA A REALIZAÇÃO DE SERVIÇO DE OXIGENIOTERAPIA DOMICILIAR PROLONGADA;12.890,16;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;524/2019;18/11/2019;360;6210.2016/0001060-0;283/2016;EXTRATO DE CONTRATO / NOTA DE EMPENHO;7/1/2020
COMPANHIA DE ENGENHARIA DE TRAFEGO;SPEZIA COMERCIAL DE MATERIAIS E SUPRIMENTOS EIRELI;19.760.235/0001-00;FORNECIMENTO DE MATERIAL DE COPA E COZINHA;12.854,40;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;20/20;12/8/2020;180;1551/19;13/20;EXTRATO DE CONTRATO / NOTA DE EMPENHO;13/8/2020
TRIBUNAL DE CONTAS;SEAL TELECOM COMÉRCIO E SERVIÇOS DE TELECOMUNICAÇÕ;58.619.404/0008-14;Aquisição de direito de uso de 04 (quatro) licenças do software para gravação digital em áudio das sessões plenárias do Tribunal de Contas do Município de São Paulo, incluindo serviços de instalação, configuração, treinamento, manutenção, atualização de versões e suporte técnico, pelo período de 12 (doze) meses;12.810,00;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;34/2020;6/11/2020;360;011307/2019;16/2019;EXTRATO DE ADITAMENTO;10/11/2020
SAÚDE;COR LINE SISTEMA DE SERVIÇOS LTDA;00.775.123/0001-02;Contratação de empresa especializada em prestação de serviços de limpeza hospitalar e predial, conservação, desinfecção, dedetização, desinsetização, descupinização, desratização, e jardinagem, incluindo, áreas externas (pátios, estacionamento e arruamento), área verde (coleta de detritos), vidros (face interna e externa), limpeza de caixas d?água, com fornecimento de mão de obra especializada, de saneantes e domissanitários, materiais de consumo, utensílios, máquinas, apropriados ao objeto e equipamentos de limpeza, incluindo a coleta de resíduo interno e externo do prédio e demais atividades correlatas, assegurando níveis de desinfecção ótimos, de acordo com os parâmetros determinados pelo Ministério da Saúde, ANVISA e ainda manter o estado geral de limpeza, preservando também, o bom aspecto visual interno e externo das áreas abrangidas, das Unidades pertencentes às Supervisões Técnicas de Saúde da COORDENADORIA REGIONAL DE SAÚDE CENTRO OESTE .;12.797,99;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;016/CRS-O/2014;5/6/2020;90;2014-0.014.332-9;024/CRSCO/2014;EXTRATO DE ADITAMENTO;30/6/2020
SUBPREFEITURA: ITAIM PAULISTA;Globalservice Serviços terceirizados eirele me;15.182.986/0001-35;TITULO DO PROCESSO SEI Nº.: 6040.2017/0000303-2 NGINTERESSADO:CL Prefeitura Regional Itaim Paulista NGOBJETO:CLPREGÃO ELETRÔNICO Nº 006/PR-IT/2017 - CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE CONTROLE, OPERAÇÃO E FISCALIZAÇÃO DE PORTARIA PARA ATENDIMENTO DAS NECESSIDADES DA SEDE DA PREFEITURA REGIONAL ITAIM PAULISTA.;12.769,40;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;001/PR-IT/2018;26/3/2019;360;6040.2017/0000303-2;Nº 006/PR-IT/2017;EXTRATO DE CONTRATO / NOTA DE EMPENHO;14/3/2020
SAÚDE;MESQUITTA COMÉRCIO, SERVIÇOS E TRANSPORTES LTDA-EP;05.991.791/0001-82;Contratação de empresa especializada para prestação de serviço de transporte mediante locação de veículo com condutor, ajudante e combustível, quilometragem livre, com manutenção preventiva e corretiva;12.729,24;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;010/2016-CRS-Sul;12/6/2020;360;6018.2016/0000655-2;005/2016-CRS/SUL;EXTRATO DE ADITAMENTO;23/6/2020
EDUCAÇÃO;MARTINS & LOCOCO LAVANDERIA LTDA;59.951.822/0001-09;Contratação de empresa especializada para a prestação de serviços de lavanderia com o fornecimento e lavagem de roupa de cama e banho para os Centros de Educação Infantil ? Cei?s ? localizados nos Centros Educacionais Unificados ? Ceu?s;12.712,81;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;15/SME/2020;6/2/2020;32;2013-0.044.796-2;28/SME/2013;EXTRATO DE ADITAMENTO;1/7/2020
SÃO PAULO URBANISMO;Bazzaneze Auditores Independentes S/S EPP;40.184.046/0001-22;Contratação de pessoa jurídica para prestação de serviços de auditoria independente contábil, fiscal e de controles internos, da São Paulo Urbanismo, para o exercício de 2019, com observância às melhores práticas contábeis adotadas no Brasil em conformidade com as Leis, Normas, Pronunciamentos, Interpretações e Orientações emitidas pelo Conselho Federal de Contabilidade - CFC, Instituto dos Auditores Independentes do Brasil ? IBRACON, Comissão de Valores Mobiliários ? CVM e outros órgãos legalmente habilitados, no que couber, sendo que as Especificações Técnicas encontram-se detalhadas no Anexo I - Termo de Referência.;12.700,00;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;1900005940;24/1/2020;360;7810.2019/0000594-0;002/2019;EXTRATO DE CONTRATO / NOTA DE EMPENHO;25/1/2020
SAÚDE;RECOZ SERVIÇO E COMÉRCIO DE EQUIPAMENTOS LTDA-EPP;39.043.765/0001-44;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA PARA APARELHOS DE AR CONDICIONADO, COM MÃO-DE-OBRA ESPECIALIZADA, FORNECIMENTO DE PEÇAS E ACESSÓRIOS;12.622,32;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;016/2016/COVISA.G;19/5/2020;360;6018.2016/0001755-4;059/2016;EXTRATO DE ADITAMENTO;27/5/2020
CULTURA;WCOM Telecomunicações LTDA;01.544.859/0001-24;Contratação para prestação de serviços de locação de Central de Comunicação de Voz Híbrida, com DDR, com serviço de instalação, gerenciamento e manutenção, visando atender à Fundação Theatro Municipal de São Paulo  os serviços devem estar em concordância com os normativos publicados pela ANATEL/UIT-T;12.614,94;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;188/FTMSP/2020;25/11/2020;360;8510.2019/0000675-2;003/FTMSP/2019;EXTRATO DE ADITAMENTO;1/12/2020
SECRETARIA MUNICIPAL DAS SUBPREFEITURAS;CONSTRUTORA LETTIERI CORDARO LTDA;07.879.965/0001-45;REGISTRO DE PREÇOS PARA A PRESTAÇÃO DE SERVIÇOS PARA A READEQUAÇÃO E MANUTENÇÃO DOS PASSEIOS PÚBLICOS ? ?CALÇADAS?;12.601,11;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;024/SMSUB/COGEL/2020;30/4/2020;60;6012.2019/0002667-0;23/SMSUB/COGEL/2019;EXTRATO DE ADITAMENTO;8/5/2020
SERVIÇO FUNERÁRIO;EAP PINGO REFRIGERAÇÃO;14.849.140/0001-43;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA DE EQUIPAMENTOS DE AR CONDICIONADO.;12.539,80;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;61/SFMSP/2018;19/11/2020;180;6410.2017/0001283-0;039/SFMSP/2018;EXTRATO DE ADITAMENTO;27/11/2020
HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL;GIGAMED COM.PRODS.MED.HOSPITALARES LTDA-EPP;15.277.824/0001-80;AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR (TRANSDUTOR DE PRESSÃO VENOSA CENTRAL);12.500,00;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;054/2020;25/3/2020;360;6210.2019/0000931-3;139/2019;EXTRATO DE ADITAMENTO;31/3/2020
SEGURANÇA URBANA;NANDAO MOTO PECAS LTDA;09.527.822/0002-80;Aquisição de Equipamentos de Proteção Individual ? EPI para os motociclistas da Guarda Civil Metropolitana de São Paulo;12.496,88;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;ETC 053/SMSU/2020;22/9/2020;4380;6029.2020/0003749-8;051/SMSU/2020;EXTRATO DE CONTRATO / NOTA DE EMPENHO;24/9/2020
SAÚDE;KIMENZ EQUIPAMENTOS LTDA.-EPP;72.791.445/0001-48;Contratação de empresa especializada em prestação de serviços de manutenção preventiva e corretiva em equipamentos odontológicos, de diversas marcas e modelos, com fornecimentos de peças, para as Unidades pertencentes à Coordenadoria Regional de Saúde SUL, conforme descrito no ANEXO I.;12.475,83;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;001/2015 CRS-SUL;28/1/2020;360;2014-0.231.354-0;020/2014-CRS/SUL;EXTRATO DE ADITAMENTO;31/3/2020
SÃO PAULO TURISMO;Cobra Saúde Ambiental Ltda;12.065.400/0001-64;Contratação sob o regime de empreitada por preço unitário de empresa(s) especializada(s) na prestação de serviços de: Controle Sanitário integrado no combate a pragas urbanas, compreendendo em: desratização, desinsetização e descupinização, com fornecimento de produtos químicos, materiais e equipamentos, em todas as áreas internas e externas e coberturas da São Paulo Turismo S/A e de Manejo integrado de Pombos, no Parque Anhembi, com fornecimento de materiais e equipamentos, por um período de 12 (doze) meses, renováveis por iguais ou menores períodos, conforme bases, especificações e condições do e seus Anexos.;12.396,24;PREGÃO ELETRÔNICO EXTRATO DE ADITAMENTO;096/18;11/9/2020;360;604/17;015/18;EXTRATO DE ADITAMENTO;5/11/2020
SUBPREFEITURA: CAPELA DO SOCORRO;NK COMERCIO DE PAEPIS LTDA-EPP;00.201.018/0001-51;Aquisição de Papel Higiênico e Papel Toalha, para a Subprefeitura Capela do Socorro, conforme especificações constantes do Anexo I do Edital.;12.392,66;PREGÃO ELETRÔNICO EXTRATO DE CONTRATO / NOTA DE EMPENHO;035/SUBCS/2020;22/4/2020;120;6057.2020/0000639-0;PE003/SUB-CS/2020;EXTRATO DE CONTRATO / NOTA DE EMPENHO;1/5/2020
